,Unnamed: 0,Name,Seed Size,Time,Exact,desv,best
0,,300_299_1_social_0.sol,35,,,,
0,,300_3362_11_social_0.sol,15,,,,
0,,300_4127_14_social_0.sol,14,,,,
0,,300_4893_17_social_0.sol,12,,,,
0,,300_5658_20_social_0.sol,11,,,,
0,,300_6424_23_social_0.sol,10,,,,
0,,300_7189_26_social_0.sol,9,,,,
0,,300_7955_29_social_0.sol,9,,,,
0,,300_8721_32_social_0.sol,8,,,,
0,,300_9486_35_social_0.sol,7,,,,
0,,30_104_4_social_0.sol,4,,,,
0,,30_111_4_social_0.sol,4,,,,
0,,30_117_4_social_0.sol,3,,,,
0,,30_124_4_social_0.sol,3,,,,
0,,30_131_5_social_0.sol,4,,,,
0,,30_138_5_social_0.sol,3,,,,
0,,30_144_6_social_0.sol,3,,,,
0,,30_151_6_social_0.sol,4,,,,
0,,30_158_6_social_0.sol,3,,,,
0,,30_165_7_social_0.sol,2,,,,
0,,30_171_7_social_0.sol,3,,,,
0,,30_178_8_social_0.sol,3,,,,
0,,30_185_8_social_0.sol,2,,,,
0,,30_192_9_social_0.sol,2,,,,
0,,30_198_9_social_0.sol,3,,,,
0,,30_205_10_social_0.sol,2,,,,
0,,30_212_11_social_0.sol,2,,,,
0,,30_219_12_social_0.sol,2,,,,
0,,30_225_15_social_0.sol,2,,,,
0,,30_29_1_social_0.sol,6,,,,
0,,30_36_1_social_0.sol,4,,,,
0,,30_43_1_social_0.sol,3,,,,
0,,30_50_1_social_0.sol,2,,,,
0,,30_57_2_social_0.sol,2,,,,
0,,30_63_2_social_0.sol,2,,,,
0,,30_70_2_social_0.sol,2,,,,
0,,30_77_2_social_0.sol,3,,,,
0,,30_84_3_social_0.sol,4,,,,
0,,30_90_3_social_0.sol,4,,,,
0,,30_97_3_social_0.sol,3,,,,
0,,35_100_3_social_0.sol,3,,,,
0,,35_110_3_social_0.sol,3,,,,
0,,35_119_3_social_0.sol,3,,,,
0,,35_128_4_social_0.sol,4,,,,
0,,35_138_4_social_0.sol,4,,,,
0,,35_147_4_social_0.sol,3,,,,
0,,35_156_5_social_0.sol,4,,,,
0,,35_166_5_social_0.sol,3,,,,
0,,35_175_6_social_0.sol,3,,,,
0,,35_185_6_social_0.sol,3,,,,
0,,35_194_6_social_0.sol,3,,,,
0,,35_203_7_social_0.sol,3,,,,
0,,35_213_7_social_0.sol,3,,,,
0,,35_222_8_social_0.sol,4,,,,
0,,35_231_8_social_0.sol,3,,,,
0,,35_241_9_social_0.sol,3,,,,
0,,35_250_10_social_0.sol,2,,,,
0,,35_260_10_social_0.sol,2,,,,
0,,35_269_11_social_0.sol,2,,,,
0,,35_278_12_social_0.sol,2,,,,
0,,35_288_13_social_0.sol,2,,,,
0,,35_297_14_social_0.sol,2,,,,
0,,35_306_17_social_0.sol,2,,,,
0,,35_34_1_social_0.sol,8,,,,
0,,35_44_1_social_0.sol,3,,,,
0,,35_53_1_social_0.sol,3,,,,
0,,35_63_1_social_0.sol,2,,,,
0,,35_72_2_social_0.sol,3,,,,
0,,35_81_2_social_0.sol,3,,,,
0,,35_91_2_social_0.sol,3,,,,
0,,400_11324_30_social_0.sol,11,,,,
0,,400_12689_34_social_0.sol,10,,,,
0,,400_14055_38_social_0.sol,9,,,,
0,,400_15421_43_social_0.sol,8,,,,
0,,400_16786_47_social_0.sol,7,,,,
0,,400_1765_4_social_0.sol,23,,,,
0,,400_18152_52_social_0.sol,7,,,,
0,,400_19517_56_social_0.sol,7,,,,
0,,400_20883_61_social_0.sol,6,,,,
0,,400_22248_66_social_0.sol,6,,,,
0,,400_23614_71_social_0.sol,6,,,,
0,,400_24979_77_social_0.sol,6,,,,
0,,400_26345_83_social_0.sol,5,,,,
0,,400_27711_89_social_0.sol,5,,,,
0,,400_29076_95_social_0.sol,4,,,,
0,,400_30442_102_social_0.sol,4,,,,
0,,400_3131_7_social_0.sol,26,,,,
0,,400_31807_109_social_0.sol,4,,,,
0,,400_33173_117_social_0.sol,4,,,,
0,,400_34538_126_social_0.sol,3,,,,
0,,400_35904_136_social_0.sol,3,,,,
0,,400_37269_147_social_0.sol,3,,,,
0,,400_38635_163_social_0.sol,3,,,,
0,,400_399_1_social_0.sol,52,,,,
0,,400_40000_200_social_0.sol,2,,,,
0,,400_4496_11_social_0.sol,19,,,,
0,,400_5862_15_social_0.sol,17,,,,
0,,400_7227_18_social_0.sol,13,,,,
0,,400_8593_22_social_0.sol,14,,,,
0,,400_9958_26_social_0.sol,11,,,,
0,,40_102_2_social_0.sol,3,,,,
0,,40_114_3_social_0.sol,4,,,,
0,,40_127_3_social_0.sol,4,,,,
0,,40_139_3_social_0.sol,4,,,,
0,,40_152_4_social_0.sol,5,,,,
0,,40_164_4_social_0.sol,4,,,,
0,,40_176_5_social_0.sol,5,,,,
0,,40_189_5_social_0.sol,5,,,,
0,,40_201_5_social_0.sol,4,,,,
0,,40_214_6_social_0.sol,4,,,,
0,,40_226_6_social_0.sol,4,,,,
0,,40_239_7_social_0.sol,3,,,,
0,,40_251_7_social_0.sol,3,,,,
0,,40_264_8_social_0.sol,4,,,,
0,,40_276_8_social_0.sol,3,,,,
0,,40_288_9_social_0.sol,3,,,,
0,,40_301_10_social_0.sol,3,,,,
0,,40_313_10_social_0.sol,3,,,,
0,,40_326_11_social_0.sol,3,,,,
0,,40_338_12_social_0.sol,3,,,,
0,,40_351_13_social_0.sol,3,,,,
0,,40_363_13_social_0.sol,3,,,,
0,,40_376_15_social_0.sol,2,,,,
0,,40_388_16_social_0.sol,2,,,,
0,,40_39_1_social_0.sol,7,,,,
0,,40_400_20_social_0.sol,2,,,,
0,,40_52_1_social_0.sol,4,,,,
0,,40_64_1_social_0.sol,3,,,,
0,,40_77_2_social_0.sol,2,,,,
0,,40_89_2_social_0.sol,4,,,,
0,,45_108_2_social_0.sol,3,,,,
0,,45_124_2_social_0.sol,3,,,,
0,,45_140_3_social_0.sol,3,,,,
0,,45_156_3_social_0.sol,5,,,,
0,,45_172_4_social_0.sol,5,,,,
0,,45_188_4_social_0.sol,4,,,,
0,,45_204_5_social_0.sol,5,,,,
0,,45_220_5_social_0.sol,5,,,,
0,,45_236_6_social_0.sol,5,,,,
0,,45_252_6_social_0.sol,4,,,,
0,,45_268_7_social_0.sol,4,,,,
0,,45_283_7_social_0.sol,3,,,,
0,,45_299_8_social_0.sol,4,,,,
0,,45_315_8_social_0.sol,4,,,,
0,,45_331_9_social_0.sol,3,,,,
0,,45_347_9_social_0.sol,4,,,,
0,,45_363_10_social_0.sol,3,,,,
0,,45_379_11_social_0.sol,3,,,,
0,,45_395_11_social_0.sol,3,,,,
0,,45_411_12_social_0.sol,3,,,,
0,,45_427_13_social_0.sol,3,,,,
0,,45_443_14_social_0.sol,2,,,,
0,,45_44_1_social_0.sol,6,,,,
0,,45_459_15_social_0.sol,3,,,,
0,,45_475_16_social_0.sol,2,,,,
0,,45_491_18_social_0.sol,2,,,,
0,,45_506_22_social_0.sol,2,,,,
0,,45_60_1_social_0.sol,4,,,,
0,,45_76_1_social_0.sol,2,,,,
0,,45_92_2_social_0.sol,3,,,,
0,,500_11189_23_social_0.sol,13,,,,
0,,500_13327_28_social_0.sol,13,,,,
0,,500_15465_33_social_0.sol,12,,,,
0,,500_17603_38_social_0.sol,11,,,,
0,,500_19741_43_social_0.sol,10,,,,
0,,500_21879_48_social_0.sol,9,,,,
0,,500_24017_53_social_0.sol,8,,,,
0,,500_26155_59_social_0.sol,8,,,,
0,,500_2637_5_social_0.sol,36,,,,
0,,500_28293_65_social_0.sol,7,,,,
0,,500_30431_70_social_0.sol,7,,,,
0,,500_32569_76_social_0.sol,7,,,,
0,,500_34707_83_social_0.sol,6,,,,
0,,500_36845_89_social_0.sol,6,,,,
0,,500_38983_96_social_0.sol,5,,,,
0,,500_41121_103_social_0.sol,5,,,,
0,,500_43259_111_social_0.sol,5,,,,
0,,500_45397_119_social_0.sol,5,,,,
0,,500_47535_127_social_0.sol,4,,,,
0,,500_4775_9_social_0.sol,25,,,,
0,,500_49673_136_social_0.sol,4,,,,
0,,500_499_1_social_0.sol,72,,,,
0,,500_51811_146_social_0.sol,4,,,,
0,,500_53949_157_social_0.sol,4,,,,
0,,500_56087_169_social_0.sol,4,,,,
0,,500_58225_184_social_0.sol,3,,,,
0,,500_60363_203_social_0.sol,3,,,,
0,,500_62500_250_social_0.sol,2,,,,
0,,500_6913_14_social_0.sol,19,,,,
0,,500_9051_18_social_0.sol,17,,,,
0,,50_109_2_social_0.sol,3,,,,
0,,50_129_2_social_0.sol,3,,,,
0,,50_149_3_social_0.sol,5,,,,
0,,50_169_3_social_0.sol,6,,,,
0,,50_189_4_social_0.sol,6,,,,
0,,50_208_4_social_0.sol,5,,,,
0,,50_228_5_social_0.sol,5,,,,
0,,50_248_5_social_0.sol,5,,,,
0,,50_268_6_social_0.sol,5,,,,
0,,50_288_6_social_0.sol,5,,,,
0,,50_308_7_social_0.sol,5,,,,
0,,50_328_7_social_0.sol,4,,,,
0,,50_347_8_social_0.sol,4,,,,
0,,50_367_8_social_0.sol,4,,,,
0,,50_387_9_social_0.sol,3,,,,
0,,50_407_10_social_0.sol,3,,,,
0,,50_427_10_social_0.sol,4,,,,
0,,50_447_11_social_0.sol,3,,,,
0,,50_467_12_social_0.sol,3,,,,
0,,50_486_13_social_0.sol,3,,,,
0,,50_49_1_social_0.sol,7,,,,
0,,50_506_14_social_0.sol,3,,,,
0,,50_526_15_social_0.sol,3,,,,
0,,50_546_16_social_0.sol,2,,,,
0,,50_566_17_social_0.sol,2,,,,
0,,50_586_18_social_0.sol,2,,,,
0,,50_606_20_social_0.sol,2,,,,
0,,50_625_25_social_0.sol,2,,,,
0,,50_69_1_social_0.sol,5,,,,
0,,50_89_1_social_0.sol,2,,,,
0,,55_103_1_social_0.sol,3,,,,
0,,55_127_2_social_0.sol,5,,,,
0,,55_151_2_social_0.sol,5,,,,
0,,55_176_3_social_0.sol,5,,,,
0,,55_200_3_social_0.sol,6,,,,
0,,55_224_4_social_0.sol,5,,,,
0,,55_248_4_social_0.sol,6,,,,
0,,55_272_5_social_0.sol,6,,,,
0,,55_297_6_social_0.sol,5,,,,
0,,55_321_6_social_0.sol,4,,,,
0,,55_345_7_social_0.sol,5,,,,
0,,55_369_7_social_0.sol,5,,,,
0,,55_393_8_social_0.sol,4,,,,
0,,55_418_9_social_0.sol,4,,,,
0,,55_442_9_social_0.sol,4,,,,
0,,55_466_10_social_0.sol,3,,,,
0,,55_490_11_social_0.sol,4,,,,
0,,55_514_11_social_0.sol,3,,,,
0,,55_539_12_social_0.sol,4,,,,
0,,55_54_1_social_0.sol,7,,,,
0,,55_563_13_social_0.sol,3,,,,
0,,55_587_14_social_0.sol,3,,,,
0,,55_611_15_social_0.sol,3,,,,
0,,55_635_16_social_0.sol,3,,,,
0,,55_660_17_social_0.sol,2,,,,
0,,55_684_19_social_0.sol,2,,,,
0,,55_708_20_social_0.sol,2,,,,
0,,55_732_22_social_0.sol,2,,,,
0,,55_756_27_social_0.sol,1,,,,
0,,55_79_1_social_0.sol,2,,,,
0,,600_12931_22_social_0.sol,17,,,,
0,,600_16013_27_social_0.sol,14,,,,
0,,600_19096_33_social_0.sol,13,,,,
0,,600_22179_39_social_0.sol,12,,,,
0,,600_25262_45_social_0.sol,11,,,,
0,,600_28345_51_social_0.sol,10,,,,
0,,600_31427_57_social_0.sol,9,,,,
0,,600_34510_64_social_0.sol,8,,,,
0,,600_3682_6_social_0.sol,40,,,,
0,,600_37593_71_social_0.sol,8,,,,
0,,600_40676_77_social_0.sol,7,,,,
0,,600_43759_84_social_0.sol,7,,,,
0,,600_46841_92_social_0.sol,7,,,,
0,,600_49924_99_social_0.sol,7,,,,
0,,600_53007_107_social_0.sol,6,,,,
0,,600_56090_115_social_0.sol,6,,,,
0,,600_59173_124_social_0.sol,5,,,,
0,,600_599_1_social_0.sol,81,,,,
0,,600_62255_133_social_0.sol,5,,,,
0,,600_65338_142_social_0.sol,5,,,,
0,,600_6765_11_social_0.sol,29,,,,
0,,600_68421_153_social_0.sol,5,,,,
0,,600_71504_164_social_0.sol,5,,,,
0,,600_74587_175_social_0.sol,4,,,,
0,,600_77669_188_social_0.sol,4,,,,
0,,600_80752_203_social_0.sol,4,,,,
0,,600_83835_221_social_0.sol,3,,,,
0,,600_86918_244_social_0.sol,3,,,,
0,,600_90000_300_social_0.sol,2,,,,
0,,600_9848_16_social_0.sol,21,,,,
0,,60_117_2_social_0.sol,3,,,,
0,,60_146_2_social_0.sol,4,,,,
0,,60_175_3_social_0.sol,5,,,,
0,,60_204_3_social_0.sol,6,,,,
0,,60_233_4_social_0.sol,5,,,,
0,,60_262_4_social_0.sol,6,,,,
0,,60_291_5_social_0.sol,6,,,,
0,,60_320_5_social_0.sol,6,,,,
0,,60_349_6_social_0.sol,5,,,,
0,,60_378_7_social_0.sol,5,,,,
0,,60_407_7_social_0.sol,5,,,,
0,,60_436_8_social_0.sol,5,,,,
0,,60_465_9_social_0.sol,5,,,,
0,,60_494_9_social_0.sol,4,,,,
0,,60_523_10_social_0.sol,4,,,,
0,,60_552_11_social_0.sol,3,,,,
0,,60_581_12_social_0.sol,4,,,,
0,,60_59_1_social_0.sol,12,,,,
0,,60_610_12_social_0.sol,4,,,,
0,,60_639_13_social_0.sol,3,,,,
0,,60_668_14_social_0.sol,3,,,,
0,,60_697_15_social_0.sol,3,,,,
0,,60_726_16_social_0.sol,3,,,,
0,,60_755_17_social_0.sol,3,,,,
0,,60_784_19_social_0.sol,3,,,,
0,,60_813_20_social_0.sol,2,,,,
0,,60_842_22_social_0.sol,2,,,,
0,,60_871_24_social_0.sol,2,,,,
0,,60_88_1_social_0.sol,4,,,,
0,,60_900_30_social_0.sol,2,,,,
0,,65_1022_26_social_0.sol,2,,,,
0,,65_1056_32_social_0.sol,2,,,,
0,,65_133_2_social_0.sol,3,,,,
0,,65_167_2_social_0.sol,5,,,,
0,,65_201_3_social_0.sol,5,,,,
0,,65_236_3_social_0.sol,6,,,,
0,,65_270_4_social_0.sol,7,,,,
0,,65_304_5_social_0.sol,6,,,,
0,,65_338_5_social_0.sol,6,,,,
0,,65_372_6_social_0.sol,6,,,,
0,,65_407_7_social_0.sol,5,,,,
0,,65_441_7_social_0.sol,5,,,,
0,,65_475_8_social_0.sol,5,,,,
0,,65_509_9_social_0.sol,4,,,,
0,,65_543_9_social_0.sol,6,,,,
0,,65_578_10_social_0.sol,5,,,,
0,,65_612_11_social_0.sol,4,,,,
0,,65_646_12_social_0.sol,4,,,,
0,,65_64_1_social_0.sol,9,,,,
0,,65_680_13_social_0.sol,4,,,,
0,,65_714_14_social_0.sol,3,,,,
0,,65_749_14_social_0.sol,3,,,,
0,,65_783_15_social_0.sol,2,,,,
0,,65_817_17_social_0.sol,3,,,,
0,,65_851_18_social_0.sol,3,,,,
0,,65_885_19_social_0.sol,3,,,,
0,,65_920_20_social_0.sol,2,,,,
0,,65_954_22_social_0.sol,2,,,,
0,,65_988_24_social_0.sol,2,,,,
0,,65_99_1_social_0.sol,4,,,,
0,,700_101500_205_social_0.sol,4,,,,
0,,700_105700_220_social_0.sol,4,,,,
0,,700_109900_237_social_0.sol,4,,,,
0,,700_114100_258_social_0.sol,3,,,,
0,,700_118300_285_social_0.sol,3,,,,
0,,700_122500_350_social_0.sol,2,,,,
0,,700_13300_19_social_0.sol,22,,,,
0,,700_17500_25_social_0.sol,18,,,,
0,,700_21700_32_social_0.sol,15,,,,
0,,700_25900_39_social_0.sol,13,,,,
0,,700_30100_46_social_0.sol,13,,,,
0,,700_34300_53_social_0.sol,12,,,,
0,,700_38500_60_social_0.sol,10,,,,
0,,700_42700_67_social_0.sol,9,,,,
0,,700_46900_75_social_0.sol,9,,,,
0,,700_4900_7_social_0.sol,45,,,,
0,,700_51100_82_social_0.sol,8,,,,
0,,700_55300_90_social_0.sol,8,,,,
0,,700_59500_99_social_0.sol,7,,,,
0,,700_63700_107_social_0.sol,7,,,,
0,,700_67900_116_social_0.sol,7,,,,
0,,700_699_1_social_0.sol,99,,,,
0,,700_72100_125_social_0.sol,6,,,,
0,,700_76300_135_social_0.sol,6,,,,
0,,700_80500_145_social_0.sol,6,,,,
0,,700_84700_155_social_0.sol,6,,,,
0,,700_88900_166_social_0.sol,5,,,,
0,,700_9100_13_social_0.sol,29,,,,
0,,700_93100_178_social_0.sol,5,,,,
0,,700_97300_191_social_0.sol,5,,,,
0,,70_1026_20_social_0.sol,3,,,,
0,,70_1066_22_social_0.sol,3,,,,
0,,70_109_1_social_0.sol,2,,,,
0,,70_1106_24_social_0.sol,2,,,,
0,,70_1146_26_social_0.sol,3,,,,
0,,70_1186_28_social_0.sol,2,,,,
0,,70_1225_35_social_0.sol,2,,,,
0,,70_149_2_social_0.sol,3,,,,
0,,70_189_2_social_0.sol,5,,,,
0,,70_229_3_social_0.sol,6,,,,
0,,70_269_4_social_0.sol,6,,,,
0,,70_309_4_social_0.sol,7,,,,
0,,70_349_5_social_0.sol,6,,,,
0,,70_388_6_social_0.sol,6,,,,
0,,70_428_6_social_0.sol,5,,,,
0,,70_468_7_social_0.sol,6,,,,
0,,70_508_8_social_0.sol,6,,,,
0,,70_548_8_social_0.sol,5,,,,
0,,70_588_9_social_0.sol,5,,,,
0,,70_628_10_social_0.sol,5,,,,
0,,70_667_11_social_0.sol,5,,,,
